ID|TYPE|TASK_NAME|DESCRIPTION|STATUS|EPIC_ID FOR SUBTASK
0|REGULAR_TASK|Задача Лебовски|Где деньги, Лебовски?|NEW|
1|REGULAR_TASK|Что такое Смерть?|Смерть — это то, что бывает с другими|IN_PROGRESS|
2|REGULAR_TASK|Как обижать людей?|Он всегда недолюбливал людей, которые «никого не хотели обидеть». Удобная фраза: произнес ее — и обижай кого хочешь.|NEW|
3|REGULAR_TASK|Найти ответ на главный вопрос жизни, вселенной и всего такого|Может быть это 6 х 9 ?|IN_PROGRESS|
9|REGULAR_TASK|Задача Лебовски|Где деньги, Лебовски?|NEW|
10|REGULAR_TASK|Что такое Смерть?|Смерть — это то, что бывает с другими|IN_PROGRESS|
11|REGULAR_TASK|Как обижать людей?|Он всегда недолюбливал людей, которые «никого не хотели обидеть». Удобная фраза: произнес ее — и обижай кого хочешь.|NEW|
12|REGULAR_TASK|Найти ответ на главный вопрос жизни, вселенной и всего такого|Может быть это 6 х 9 ?|IN_PROGRESS|
18|REGULAR_TASK|Задача Лебовски|Где деньги, Лебовски?|NEW|
19|REGULAR_TASK|Что такое Смерть?|Смерть — это то, что бывает с другими|IN_PROGRESS|
20|REGULAR_TASK|Как обижать людей?|Он всегда недолюбливал людей, которые «никого не хотели обидеть». Удобная фраза: произнес ее — и обижай кого хочешь.|NEW|
21|REGULAR_TASK|Найти ответ на главный вопрос жизни, вселенной и всего такого|Может быть это 6 х 9 ?|IN_PROGRESS|
27|REGULAR_TASK|Задача Лебовски|Где деньги, Лебовски?|NEW|
28|REGULAR_TASK|Что такое Смерть?|Смерть — это то, что бывает с другими|IN_PROGRESS|
29|REGULAR_TASK|Как обижать людей?|Он всегда недолюбливал людей, которые «никого не хотели обидеть». Удобная фраза: произнес ее — и обижай кого хочешь.|NEW|
30|REGULAR_TASK|Найти ответ на главный вопрос жизни, вселенной и всего такого|Может быть это 6 х 9 ?|IN_PROGRESS|
36|REGULAR_TASK|Задача Лебовски|Где деньги, Лебовски?|NEW|
37|REGULAR_TASK|Что такое Смерть?|Смерть — это то, что бывает с другими|IN_PROGRESS|
38|REGULAR_TASK|Как обижать людей?|Он всегда недолюбливал людей, которые «никого не хотели обидеть». Удобная фраза: произнес ее — и обижай кого хочешь.|NEW|
39|REGULAR_TASK|Найти ответ на главный вопрос жизни, вселенной и всего такого|Может быть это 6 х 9 ?|IN_PROGRESS|
45|REGULAR_TASK|Задача Лебовски|Где деньги, Лебовски?|NEW|
46|REGULAR_TASK|Что такое Смерть?|Смерть — это то, что бывает с другими|IN_PROGRESS|
47|REGULAR_TASK|Как обижать людей?|Он всегда недолюбливал людей, которые «никого не хотели обидеть». Удобная фраза: произнес ее — и обижай кого хочешь.|NEW|
48|REGULAR_TASK|Найти ответ на главный вопрос жизни, вселенной и всего такого|Может быть это 6 х 9 ?|IN_PROGRESS|
54|REGULAR_TASK|Задача Лебовски|Где деньги, Лебовски?|NEW|
55|REGULAR_TASK|Что такое Смерть?|Смерть — это то, что бывает с другими|IN_PROGRESS|
56|REGULAR_TASK|Как обижать людей?|Он всегда недолюбливал людей, которые «никого не хотели обидеть». Удобная фраза: произнес ее — и обижай кого хочешь.|NEW|
57|REGULAR_TASK|Найти ответ на главный вопрос жизни, вселенной и всего такого|Может быть это 6 х 9 ?|IN_PROGRESS|
32|EPIC_TASK|Выполнить домашнее задание практикума|Нужно успеть до 09.10.2022|IN_PROGRESS|
33|EPIC_TASK|Выполнить треннировку|Выполнить 3 упражнения по 10 подходов|NEW|
4|EPIC_TASK|Приготовить рис|Нужен гарнир из коричневого риса|IN_PROGRESS|
5|EPIC_TASK|Выполнить домашнее задание практикума|Нужно успеть до 09.10.2022|NEW|
6|EPIC_TASK|Выполнить треннировку|Выполнить 3 упражнения по 10 подходов|NEW|
40|EPIC_TASK|Приготовить рис|Нужен гарнир из коричневого риса|NEW|
41|EPIC_TASK|Выполнить домашнее задание практикума|Нужно успеть до 09.10.2022|NEW|
42|EPIC_TASK|Выполнить треннировку|Выполнить 3 упражнения по 10 подходов|NEW|
13|EPIC_TASK|Приготовить рис|Нужен гарнир из коричневого риса|NEW|
14|EPIC_TASK|Выполнить домашнее задание практикума|Нужно успеть до 09.10.2022|NEW|
15|EPIC_TASK|Выполнить треннировку|Выполнить 3 упражнения по 10 подходов|NEW|
49|EPIC_TASK|Приготовить рис|Нужен гарнир из коричневого риса|NEW|
50|EPIC_TASK|Выполнить домашнее задание практикума|Нужно успеть до 09.10.2022|NEW|
51|EPIC_TASK|Выполнить треннировку|Выполнить 3 упражнения по 10 подходов|NEW|
22|EPIC_TASK|Приготовить рис|Нужен гарнир из коричневого риса|NEW|
23|EPIC_TASK|Выполнить домашнее задание практикума|Нужно успеть до 09.10.2022|NEW|
24|EPIC_TASK|Выполнить треннировку|Выполнить 3 упражнения по 10 подходов|NEW|
58|EPIC_TASK|Приготовить рис|Нужен гарнир из коричневого риса|NEW|
59|EPIC_TASK|Выполнить домашнее задание практикума|Нужно успеть до 09.10.2022|NEW|
60|EPIC_TASK|Выполнить треннировку|Выполнить 3 упражнения по 10 подходов|NEW|
31|EPIC_TASK|Приготовить рис|Нужен гарнир из коричневого риса|NEW|
34|SUBTASK|Промыть рис|Желательно 400 гр|DONE|32
35|SUBTASK|Варить 10 минут|Не уходить с кухни|NEW|32
7|SUBTASK|Промыть рис|Желательно 400 гр|DONE|4
8|SUBTASK|Варить 10 минут|Не уходить с кухни|NEW|4
43|SUBTASK|Промыть рис|Желательно 400 гр|DONE|32
44|SUBTASK|Варить 10 минут|Не уходить с кухни|NEW|32
16|SUBTASK|Промыть рис|Желательно 400 гр|DONE|4
17|SUBTASK|Варить 10 минут|Не уходить с кухни|NEW|4
52|SUBTASK|Промыть рис|Желательно 400 гр|DONE|32
53|SUBTASK|Варить 10 минут|Не уходить с кухни|NEW|32
25|SUBTASK|Промыть рис|Желательно 400 гр|DONE|4
26|SUBTASK|Варить 10 минут|Не уходить с кухни|NEW|4
61|SUBTASK|Промыть рис|Желательно 400 гр|DONE|32
62|SUBTASK|Варить 10 минут|Не уходить с кухни|NEW|32

BELOW_THIS_ROW_HISTORY_DATA
ID|TASK_TYPE
-1|NOT_EXISTING_TASK
0|REGULAR_TASK
1|REGULAR_TASK
2|REGULAR_TASK
3|REGULAR_TASK
9|REGULAR_TASK
10|REGULAR_TASK
11|REGULAR_TASK
12|REGULAR_TASK
18|REGULAR_TASK
19|REGULAR_TASK
20|REGULAR_TASK
21|REGULAR_TASK
27|REGULAR_TASK
28|REGULAR_TASK
29|REGULAR_TASK
30|REGULAR_TASK
36|REGULAR_TASK
37|REGULAR_TASK
38|REGULAR_TASK
39|REGULAR_TASK
45|REGULAR_TASK
46|REGULAR_TASK
47|REGULAR_TASK
48|REGULAR_TASK
54|REGULAR_TASK
55|REGULAR_TASK
56|REGULAR_TASK
57|REGULAR_TASK
34|SUBTASK
35|SUBTASK
7|SUBTASK
8|SUBTASK
43|SUBTASK
44|SUBTASK
16|SUBTASK
17|SUBTASK
52|SUBTASK
53|SUBTASK
25|SUBTASK
26|SUBTASK
61|SUBTASK
62|SUBTASK
32|EPIC_TASK
33|EPIC_TASK
4|EPIC_TASK
5|EPIC_TASK
6|EPIC_TASK
40|EPIC_TASK
41|EPIC_TASK
42|EPIC_TASK
13|EPIC_TASK
14|EPIC_TASK
15|EPIC_TASK
49|EPIC_TASK
50|EPIC_TASK
51|EPIC_TASK
22|EPIC_TASK
23|EPIC_TASK
24|EPIC_TASK
58|EPIC_TASK
59|EPIC_TASK
60|EPIC_TASK
31|EPIC_TASK

BELOW_THIS_ROW_CONT_ID_VALUE
COUNT_ID|63
